model_number,identifier,variant,emc,model_name,storage_capacity,housing_color,network,cellular_network,camera,controller,ports,power_cord,power_brick,dimensions,avg_weight,release_date,msrp
MT752CH/A,"iPhone11,6",A2104,3261,iPhone Xs Max,256GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1249
MT5W2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,64GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1099
MT692LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,256GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1249
MT5A2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,64GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1099
MT5L2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,64GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1099
MT532AH/A,"iPhone11,6",A2101,3234,iPhone Xs Max,256GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1249
MT6K2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,256GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1249
MT6M2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,512GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1449
MT5K2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,64GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1099
MT5G2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,512GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1449
MT532ZD/A,"iPhone11,6",A2101,3234,iPhone Xs Max,256GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1249
NT6H2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,64GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1099
MT5T2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,512GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1449
NT542ZP/A,"iPhone11,6",A2101,3234,iPhone Xs Max,256GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1249
MT5J2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,512GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1449
NT6G2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,64GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1099
MT762ZA/A,"iPhone11,6",A2104,3261,iPhone Xs Max,256GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1249
MT612LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,256GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1249
MT5Q2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,256GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1249
MT5R2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,512GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1449
MT632LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,512GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1449
MT662LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,64GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1099
MT672LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,64GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1099
MT5M2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,64GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1099
NT6K2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,256GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1249
MT522MY/A,"iPhone11,6",A2101,3234,iPhone Xs Max,64GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1249
MT5E2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,256GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1249
MT5C2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,64GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1099
MT6J2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,256GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1249
MT742ZA/A,"iPhone11,6",A2104,3261,iPhone Xs Max,256GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1249
MT562B/A,"iPhone11,6",A2101,3234,iPhone Xs Max,512GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1249
MT772ZA/A,"iPhone11,6",A2104,3261,iPhone Xs Max,512GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1249
MT6G2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,64GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1099
MT5F2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,256GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1249
MT6P2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,512GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1449
3D888LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,64GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1099
MT592LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,64GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1099
MT682LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,256GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1249
MT5P2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,256GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1249
3D897LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,64GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1099
MT6A2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,256GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1249
MT6F2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,64GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1099
MT5X2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,64GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1099
MT602LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,256GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1249
MT6E2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,512GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1449
MT532X/A,"iPhone11,6",A2101,3234,iPhone Xs Max,256GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1249
MT622LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,512GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1449
MT6N2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,512GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1449
MT5D2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,256GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1249
MT6D2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,512GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1449
MT642LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,512GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1449
MT742CH/A,"iPhone11,6",A2104,3261,iPhone Xs Max,256GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1249
FT5A2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,64GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1099
MT5V2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,64GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1099
MT6H2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,64GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1099
NT6P2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,512GB,Gold,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1449
NT6N2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,512GB,Silver,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1449
MT6C2LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,512GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1449
MT652LL/A,"iPhone11,6",A1921,3219,iPhone Xs Max,64GB,Space Gray,WiFi + Cellular,GSM/CDMA/LTE,12.0 Megapixels,3D Touch,Lightning,Lightning,5w,6.20 x 3.05 x 0.30 inches,7.34 oz,September 12th 2018,1099
